DEXPDF;"KOPF / Art der Ausfuhranmeldung";Aufbau;"Zum Verständnis verschiedener Abhängigkeiten innerhalb der Nachricht wird im Folgenden die Systematik und der Inhalt der Codeliste dargestellt.
X••••••• Zeitpunkt der Abgabe der Anmeldung: 0=vorab, 1=rückwirkend/nachträglich, 2=gesammelt
•X•••••• Grund: 0=ohne, 1=Korrektur, 2: Notfall-Verfahren, 3=Carnet-ATA
••X••••• Art der Passiven Veredelung: 0=keine, 1=zollrechtliche, 2=wirtschaftliche
•••X•••• Art der PV-Bewilligung: 0=keine, 1=OPO-PV, 2=Antrag auf vereinfachte Bewilligung
••••X••• Art der bewilligten Vereinfachung: 0=keine, 1=SDE
•••••X•• Ort der Gestellung: 0=keiner, 1=Ausfuhrzollstelle, 2=§12(4) AWV, 3=SDE-Bewilligung, 4=CCL-Bewilligung, 9=Ausgangszollstelle
••••••X• Umfang der Anmeldung (Vereinfachung): 0=vollständig, 1=unvollständig
•••••••X Sonderfall: 0=keiner, 1=geringwertig, 2=begründet"
DEXPDF;"KOPF / Art der Ausfuhranmeldung";Aufbau;"Einfache Ausfuhranmeldungen:
00000100 Standard-Ausfuhranmeldung zum zweistufigen Normalverfahren
00000110 Vereinfachte Ausfuhranmeldung zum zweistufigen Normalverfahren
00000200 Standard-Ausfuhranmeldung zum zweistufigen Normalverfahren mit Antrag auf Gestellung außerhalb des Amtsplatzes nach §12(4) AWV
00000210 Vereinfachte Ausfuhranmeldung zum zweistufigen Normalverfahren mit Antrag auf Gestellung außerhalb des Amtsplatzes nach §12(4) AWV
00000400 Standard-Ausfuhranmeldung zum zweistufigen Normalverfahren unter Verwendung einer Bewilligung CCL-Ausfuhr
00000901 Standard-Ausfuhranmeldung zum einstufigen Verfahren bei Waren mit einem Wert bis 3.000€
00000902 Standard-Ausfuhranmeldung zum einstufigen Verfahren in begründeten Fällen
00001300 Standard-Ausfuhranmeldung zum zweistufigen Vereinfachten Verfahren unter Verwendung einer Bewilligung SDE-Ausfuhr
00001310 Vereinfachte Ausfuhranmeldung zum zweistufigen Vereinfachten Verfahren unter Verwendung einer Bewilligung SDE-Ausfuhr
00001410 Vereinfachte Ausfuhranmeldung zum zweistufigen Vereinfachten Verfahren unter Verwendung von Bewilligungen SDE-Ausfuhr und CCL-Ausfuhr"
DEXPDF;"KOPF / Art der Ausfuhranmeldung";Aufbau;"Ausfuhranmeldungen zur Überführung in die zollrechtliche Passive Veredelung:
00110100 Standard-Ausfuhranmeldung zum zweistufigen Normalverfahren unter Verwendung einer Bewilligung OPO-PV
00110110 Vereinfachte Ausfuhranmeldung zum zweistufigen Normalverfahren unter Verwendung einer Bewilligung OPO-PV
00110200 Standard-Ausfuhranmeldung zum zweistufigen Normalverfahren mit Antrag auf Gestellung außerhalb des Amtsplatzes nach §12(4) AWV unter Verwendung einer Bewilligung OPO-PV
00110210 Vereinfachte Ausfuhranmeldung zum zweistufigen Normalverfahren mit Antrag auf Gestellung außerhalb des Amtsplatzes nach §12(4) AWV unter Verwendung einer Bewilligung OPO-PV
00110400 Standard-Ausfuhranmeldung zum zweistufigen Normalverfahren unter Verwendung von Bewilligungen OPO-PV und CCL-PV
00111300 Standard-Ausfuhranmeldung zum zweistufigen Vereinfachten Verfahren unter Verwendung von Bewilligungen SDE-PV und OPO-PV
00111310 Vereinfachte Ausfuhranmeldung zum zweistufigen Vereinfachten Verfahren SDE-PV unter Verwendung einer Bewilligung OPO-PV
00111410 Vereinfachte Ausfuhranmeldung zum zweistufigen Vereinfachten Verfahren unter Verwendung von Bewilligungen SDE-PV, OPO-PV und CCL-PV
00120100 Standard-Ausfuhranmeldung zum zweistufigen Normalverfahren mit Antrag auf eine vereinfacht zu erteilende PV-Bewilligung
00120110 Vereinfachte Ausfuhranmeldung zum zweistufigen Normalverfahren mit Antrag auf eine vereinfacht zu erteilende PV-Bewilligung
00120200 Standard-Ausfuhranmeldung zum zweistufigen Normalverfahren mit Anträgen auf Gestellung außerhalb des Amtsplatzes nach §12(4) AWV und eine vereinfacht zu erteilende PV-Bewilligung
00120210 Vereinfachte Ausfuhranmeldung zum zweistufigen Normalverfahren mit Anträgen auf Gestellung außerhalb des Amtsplatzes nach §12(4) AWV und eine vereinfacht zu erteilende PV-Bewilligung"
DEXPDF;"KOPF / Art der Ausfuhranmeldung";Aufbau;"Ausfuhranmeldungen zur Überführung in die wirtschaftliche Passive Veredelung:
00200100 Standard-Ausfuhranmeldung zum zweistufigen Normalverfahren als wirtschaftliche PV
00200110 Vereinfachte Ausfuhranmeldung zum zweistufigen Normalverfahren als wirtschaftliche PV
00200200 Standard-Ausfuhranmeldung zum zweistufigen Normalverfahren mit Antrag auf Gestellung außerhalb des Amtsplatzes nach §12(4) AWV als wirtschaftliche PV
00200210 Vereinfachte Ausfuhranmeldung zum zweistufigen Normalverfahren mit Antrag auf Gestellung außerhalb des Amtsplatzes nach §12(4) AWV als wirtschaftliche PV
00200400 Standard-Ausfuhranmeldung zum zweistufigen Normalverfahren als wirtschaftliche PV unter Verwendung einer Bewilligung CCL-Ausfuhr
00201300 Standard-Ausfuhranmeldung zum zweistufigen Vereinfachten Verfahren als wirtschaftliche PV unter Verwendung einer Bewilligung SDE-Ausfuhr
00201310 Vereinfachte Ausfuhranmeldung zum zweistufigen Vereinfachten Verfahren als wirtschaftliche PV unter Verwendung einer Bewilligung SDE-Ausfuhr
00201410 Vereinfachte Ausfuhranmeldung zum zweistufigen Vereinfachten Verfahren als wirtschaftliche PV unter Verwendung der Bewilligungen SDE-Ausfuhr und CCL-Ausfuhr"
DEXPDF;"KOPF / Art der Ausfuhranmeldung";Aufbau;"Rückwirkende Ausfuhranmeldungen:
10000000 Rückwirkende Ausfuhranmeldung
10000400 Rückwirkende Ausfuhranmeldung unter Verwendung einer Bewilligung CCL-Ausfuhr
10110000 Rückwirkende Ausfuhranmeldung unter Verwendung einer Bewilligung OPO-PV
10110400 Rückwirkende Ausfuhranmeldung unter Verwendung von Bewilligungen OPO-PV und CCL-PV
10200000 Rückwirkende Ausfuhranmeldung als wirtschaftliche PV
10200400 Rückwirkende Ausfuhranmeldung als wirtschaftliche PV unter Verwendung einer Bewilligung CCL-Ausfuhr"
DEXPDF;"KOPF / Art der Ausfuhranmeldung";Aufbau;"Nachträgliche Ausfuhranmeldung zur Korrektur:
11000000 Nachträgliche Ausfuhranmeldung bei vorheriger ganz oder teilweise unrichtiger Anmeldung
11110000 Nachträgliche Ausfuhranmeldung bei vorheriger ganz oder teilweise unrichtiger Anmeldung unter Verwendung einer Bewilligung OPO-PV
11120000 Nachträgliche Ausfuhranmeldung bei vorheriger ganz oder teilweise unrichtiger Anmeldung mit Antrag auf eine vereinfacht zu erteilende PV-Bewilligung
11200000 Nachträgliche Ausfuhranmeldung bei vorheriger ganz oder teilweise unrichtiger Anmeldung als wirtschaftliche PV"
DEXPDF;"KOPF / Art der Ausfuhranmeldung";Aufbau;"Nachträgliche Ausfuhranmeldung aus dem Notfallverfahren:
12000000 Nachträgliche Ausfuhranmeldung aus dem Notfallverfahren
12000400 Nachträgliche Ausfuhranmeldung aus dem Notfallverfahren unter Verwendung einer Bewilligung CCL-Ausfuhr
12110000 Nachträgliche Ausfuhranmeldung aus dem Notfallverfahren unter Verwendung einer Bewilligung OPO-PV
12110400 Nachträgliche Ausfuhranmeldung aus dem Notfallverfahren unter Verwendung von Bewilligungen OPO-PV und CCL-PV
12120000 Nachträgliche Ausfuhranmeldung aus dem Notfallverfahren mit Antrag auf eine vereinfacht zu erteilende PV-Bewilligung
12200000 Nachträgliche Ausfuhranmeldung aus dem Notfallverfahren als wirtschaftliche PV
12200400 Nachträgliche Ausfuhranmeldung aus dem Notfallverfahren als wirtschaftliche PV unter Verwendung einer Bewilligung CCL-Ausfuhr"
DEXPDF;"KOPF / Art der Ausfuhranmeldung";Aufbau;"Rückwirkende Anmeldung auf Basis eines Carnet ATA:
13000000 Rückwirkende Ausfuhranmeldung nach Carnet ATA ohne Wiedereinfuhr"
DEXPDF;"KOPF / Art der Ausfuhranmeldung";Aufbau;"Monatliche Sammelanmeldung zur Ausfuhr:
20000000 Monatliche Sammelanmeldung zum Vereinfachten Verfahren unter Verwendung einer Bewilligung EIR-Ausfuhr"
DEXPDF;"KOPF / Art der Ausfuhranmeldung";Prüfmuster;"[0-9]{8}"
